订单ID,用户ID,订单金额,下单时间,支付状态,收货地址
ORD001365,U0466,95.74,2024-04-09 14:12:21.748349670,已支付,上海市浦东新区
ORD001366,U0129,92.77,2024-04-09 15:57:30.210042009,已支付,广州市天河区
ORD001367,U0683,19.85,2024-04-09 17:42:38.671734347,已支付,北京市朝阳区
ORD001368,U0837,78.88,2024-04-09 19:27:47.133426685,已支付,杭州市西湖区
ORD001369,U0075,20.7,2024-04-09 21:12:55.595119024,已支付,深圳市南山区
ORD001370,U0486,10.56,2024-04-09 22:58:04.056811362,已支付,上海市浦东新区
ORD001371,U0768,298.56,2024-04-10 00:43:12.518503701,已支付,北京市朝阳区
ORD001372,U0216,42.61,2024-04-10 02:28:20.980196039,已支付,杭州市西湖区
ORD001373,U0743,44.82,2024-04-10 04:13:29.441888378,已支付,深圳市南山区
ORD001374,U0237,158.87,2024-04-10 05:58:37.903580716,已支付,广州市天河区
ORD001375,U0096,126.61,2024-04-10 07:43:46.365273055,已支付,北京市朝阳区
ORD001376,U0183,30.81,2024-04-10 09:28:54.826965393,已支付,上海市浦东新区
ORD001377,U0912,78.24,2024-04-10 11:14:03.288657732,已支付,杭州市西湖区
ORD001378,U0633,98.49,2024-04-10 12:59:11.750350070,已支付,广州市天河区
ORD001379,U0195,15.91,2024-04-10 14:44:20.212042409,已支付,广州市天河区
ORD001380,U0250,28.0,2024-04-10 16:29:28.673734747,未支付,杭州市西湖区
ORD001381,U0623,42.85,2024-04-10 18:14:37.135427086,未支付,杭州市西湖区
ORD001382,U0447,61.34,2024-04-10 19:59:45.597119424,已支付,杭州市西湖区
ORD001383,U0072,221.44,2024-04-10 21:44:54.058811762,未支付,北京市朝阳区
ORD001384,U0992,30.28,2024-04-10 23:30:02.520504101,已支付,上海市浦东新区
ORD001385,U0918,262.43,2024-04-11 01:15:10.982196439,已支付,广州市天河区
ORD001386,U0952,96.65,2024-04-11 03:00:19.443888778,已支付,深圳市南山区
ORD001387,U0052,12.06,2024-04-11 04:45:27.905581116,已支付,杭州市西湖区
ORD001388,U0496,83.35,2024-04-11 06:30:36.367273455,已支付,上海市浦东新区
ORD001389,U0977,257.28,2024-04-11 08:15:44.828965793,已支付,深圳市南山区
ORD001390,U0155,49.64,2024-04-11 10:00:53.290658132,已支付,北京市朝阳区
ORD001391,U0320,28.91,2024-04-11 11:46:01.752350470,已支付,广州市天河区
ORD001392,U0301,34.23,2024-04-11 13:31:10.214042809,已支付,上海市浦东新区
ORD001393,U0195,98.73,2024-04-11 15:16:18.675735147,已支付,上海市浦东新区
ORD001394,U0026,15.19,2024-04-11 17:01:27.137427486,已支付,广州市天河区
ORD001395,U0227,352.72,2024-04-11 18:46:35.599119824,已支付,广州市天河区
ORD001396,U0397,184.0,2024-04-11 20:31:44.060812163,已支付,杭州市西湖区
ORD001397,U0209,121.88,2024-04-11 22:16:52.522504501,已支付,广州市天河区
ORD001398,U0414,19.18,2024-04-12 00:02:00.984196839,已支付,上海市浦东新区
ORD001399,U0733,265.96,2024-04-12 01:47:09.445889178,已支付,杭州市西湖区
ORD001400,U0846,219.13,2024-04-12 03:32:17.907581516,已支付,广州市天河区
ORD001401,U0798,264.72,2024-04-12 05:17:26.369273855,未支付,深圳市南山区
ORD001402,U0997,86.19,2024-04-12 07:02:34.830966193,已支付,深圳市南山区
ORD001403,U0253,64.53,2024-04-12 08:47:43.292658532,已支付,广州市天河区
ORD001404,U0428,83.53,2024-04-12 10:32:51.754350870,已支付,上海市浦东新区
ORD001405,U0944,103.39,2024-04-12 12:18:00.216043209,已支付,杭州市西湖区
ORD001406,U0614,231.75,2024-04-12 14:03:08.677735547,已支付,杭州市西湖区
ORD001407,U0265,16.47,2024-04-12 15:48:17.139427886,已支付,杭州市西湖区
ORD001408,U0176,81.03,2024-04-12 17:33:25.601120224,已支付,北京市朝阳区
ORD001409,U0352,107.23,2024-04-12 19:18:34.062812563,已支付,广州市天河区
ORD001410,U0184,183.0,2024-04-12 21:03:42.524504901,已支付,北京市朝阳区
ORD001411,U0324,47.78,2024-04-12 22:48:50.986197240,已支付,北京市朝阳区
ORD001412,U0902,70.37,2024-04-13 00:33:59.447889578,已支付,深圳市南山区
ORD001413,U0499,57.5,2024-04-13 02:19:07.909581916,未支付,杭州市西湖区
ORD001414,U0193,87.3,2024-04-13 04:04:16.371274255,已支付,北京市朝阳区
ORD001415,U0857,36.76,2024-04-13 05:49:24.832966593,已支付,上海市浦东新区
ORD001416,U1000,124.17,2024-04-13 07:34:33.294658932,已支付,广州市天河区
ORD001417,U0486,96.1,2024-04-13 09:19:41.756351270,已支付,上海市浦东新区
ORD001418,U0195,15.2,2024-04-13 11:04:50.218043609,已支付,杭州市西湖区
ORD001419,U0021,20.1,2024-04-13 12:49:58.679735947,未支付,深圳市南山区
ORD001420,U0334,53.97,2024-04-13 14:35:07.141428286,已支付,上海市浦东新区
ORD001421,U0798,1419.05,2024-04-13 16:20:15.603120624,已支付,上海市浦东新区
ORD001422,U0569,48.85,2024-04-13 18:05:24.064812963,已支付,北京市朝阳区
ORD001423,U0055,23.27,2024-04-13 19:50:32.526505301,未支付,上海市浦东新区
ORD001424,U0002,31.74,2024-04-13 21:35:40.988197640,已支付,深圳市南山区
ORD001425,U0304,106.89,2024-04-13 23:20:49.449889978,已支付,上海市浦东新区
ORD001426,U0534,318.69,2024-04-14 01:05:57.911582317,已支付,上海市浦东新区
ORD001427,U0141,33.73,2024-04-14 02:51:06.373274655,未支付,杭州市西湖区
ORD001428,U0089,77.92,2024-04-14 04:36:14.834966994,已支付,深圳市南山区
ORD001429,U0880,37.32,2024-04-14 06:21:23.296659332,已支付,上海市浦东新区
ORD001430,U0811,120.59,2024-04-14 08:06:31.758351670,已支付,杭州市西湖区
ORD001431,U0587,37.34,2024-04-14 09:51:40.220044008,已支付,广州市天河区
ORD001432,U0586,138.77,2024-04-14 11:36:48.681736348,已支付,上海市浦东新区
ORD001433,U0305,4.56,2024-04-14 13:21:57.143428686,未支付,上海市浦东新区
ORD001434,U0748,119.22,2024-04-14 15:07:05.605121024,已支付,杭州市西湖区
ORD001435,U0165,48.56,2024-04-14 16:52:14.066813362,已取消,杭州市西湖区
ORD001436,U0217,104.36,2024-04-14 18:37:22.528505702,已取消,杭州市西湖区
ORD001437,U0364,55.52,2024-04-14 20:22:30.990198040,已支付,上海市浦东新区
ORD001438,U0803,16.99,2024-04-14 22:07:39.451890378,已支付,北京市朝阳区
ORD001439,U0531,67.6,2024-04-14 23:52:47.913582716,已支付,北京市朝阳区
ORD001440,U0284,123.59,2024-04-15 01:37:56.375275056,已支付,杭州市西湖区
ORD001441,U0362,71.26,2024-04-15 03:23:04.836967394,已支付,北京市朝阳区
ORD001442,U0368,12.94,2024-04-15 05:08:13.298659732,已支付,广州市天河区
ORD001443,U0441,68.25,2024-04-15 06:53:21.760352070,已支付,北京市朝阳区
ORD001444,U0883,91.63,2024-04-15 08:38:30.222044408,已取消,北京市朝阳区
ORD001445,U0445,36.37,2024-04-15 10:23:38.683736748,未支付,上海市浦东新区
ORD001446,U0939,2.72,2024-04-15 12:08:47.145429086,已支付,北京市朝阳区
ORD001447,U0377,33.59,2024-04-15 13:53:55.607121424,已支付,杭州市西湖区
ORD001448,U0496,15.45,2024-04-15 15:39:04.068813762,已支付,上海市浦东新区
ORD001449,U0188,49.46,2024-04-15 17:24:12.530506102,已支付,北京市朝阳区
ORD001450,U0650,15.62,2024-04-15 19:09:20.992198440,已支付,广州市天河区
ORD001451,U0847,15.02,2024-04-15 20:54:29.453890778,未支付,上海市浦东新区
ORD001452,U0864,118.38,2024-04-15 22:39:37.915583116,已支付,上海市浦东新区
ORD001453,U0963,64.27,2024-04-16 00:24:46.377275456,已支付,上海市浦东新区
ORD001454,U0792,89.37,2024-04-16 02:09:54.838967794,未支付,北京市朝阳区
ORD001455,U0714,30.86,2024-04-16 03:55:03.300660132,已支付,杭州市西湖区
ORD001456,U0384,33.79,2024-04-16 05:40:11.762352470,已支付,深圳市南山区
ORD001457,U0428,28.84,2024-04-16 07:25:20.224044810,已支付,深圳市南山区
ORD001458,U0158,32.89,2024-04-16 09:10:28.685737148,已支付,深圳市南山区
ORD001459,U0745,34.44,2024-04-16 10:55:37.147429486,已支付,北京市朝阳区
ORD001460,U0627,20.2,2024-04-16 12:40:45.609121824,已支付,广州市天河区
ORD001461,U0225,26.81,2024-04-16 14:25:54.070814162,已支付,上海市浦东新区
ORD001462,U0557,66.34,2024-04-16 16:11:02.532506502,已支付,上海市浦东新区
ORD001463,U0729,20.08,2024-04-16 17:56:10.994198840,已支付,杭州市西湖区
ORD001464,U0999,75.72,2024-04-16 19:41:19.455891178,已支付,上海市浦东新区
ORD001465,U0630,11.36,2024-04-16 21:26:27.917583516,已支付,杭州市西湖区
ORD001466,U0828,73.96,2024-04-16 23:11:36.379275856,已支付,北京市朝阳区
ORD001467,U0372,50.62,2024-04-17 00:56:44.840968194,未支付,深圳市南山区
ORD001468,U0309,75.36,2024-04-17 02:41:53.302660532,已支付,杭州市西湖区
ORD001469,U0359,75.42,2024-04-17 04:27:01.764352870,已支付,杭州市西湖区
ORD001470,U0793,19.63,2024-04-17 06:12:10.226045210,已支付,上海市浦东新区
ORD001471,U0102,57.76,2024-04-17 07:57:18.687737548,已支付,北京市朝阳区
ORD001472,U0460,17.64,2024-04-17 09:42:27.149429886,已支付,深圳市南山区
ORD001473,U0132,36.19,2024-04-17 11:27:35.611122224,已支付,北京市朝阳区
ORD001474,U0860,139.6,2024-04-17 13:12:44.072814564,已支付,深圳市南山区
ORD001475,U0724,20.42,2024-04-17 14:57:52.534506902,已支付,广州市天河区
ORD001476,U0202,51.6,2024-04-17 16:43:00.996199240,已支付,北京市朝阳区
ORD001477,U0287,24.29,2024-04-17 18:28:09.457891578,未支付,广州市天河区
ORD001478,U0147,74.11,2024-04-17 20:13:17.919583916,已支付,深圳市南山区
ORD001479,U0770,137.41,2024-04-17 21:58:26.381276256,未支付,杭州市西湖区
ORD001480,U0772,34.19,2024-04-17 23:43:34.842968594,已支付,广州市天河区
ORD001481,U0847,67.76,2024-04-18 01:28:43.304660932,已支付,深圳市南山区
ORD001482,U0294,43.71,2024-04-18 03:13:51.766353270,已支付,深圳市南山区
ORD001483,U0033,20.59,2024-04-18 04:59:00.228045610,已支付,广州市天河区
ORD001484,U0018,77.85,2024-04-18 06:44:08.689737948,已支付,北京市朝阳区
ORD001485,U0872,88.75,2024-04-18 08:29:17.151430286,已支付,杭州市西湖区
ORD001486,U0672,20.35,2024-04-18 10:14:25.613122624,已支付,深圳市南山区
ORD001487,U0992,129.5,2024-04-18 11:59:34.074814964,已支付,北京市朝阳区
ORD001488,U0973,194.6,2024-04-18 13:44:42.536507302,已支付,深圳市南山区
ORD001489,U0115,22.39,2024-04-18 15:29:50.998199640,已支付,深圳市南山区
ORD001490,U0208,216.7,2024-04-18 17:14:59.459891978,已支付,深圳市南山区
ORD001491,U0161,54.82,2024-04-18 19:00:07.921584316,未支付,北京市朝阳区
ORD001492,U0290,50.95,2024-04-18 20:45:16.383276656,未支付,上海市浦东新区
ORD001493,U0819,288.06,2024-04-18 22:30:24.844968994,已支付,杭州市西湖区
ORD001494,U0319,126.18,2024-04-19 00:15:33.306661332,已支付,杭州市西湖区
ORD001495,U0462,29.27,2024-04-19 02:00:41.768353670,已取消,上海市浦东新区
ORD001496,U0559,32.85,2024-04-19 03:45:50.230046010,已支付,深圳市南山区
ORD001497,U0962,75.62,2024-04-19 05:30:58.691738348,已支付,上海市浦东新区
ORD001498,U0909,74.83,2024-04-19 07:16:07.153430686,已支付,广州市天河区
ORD001499,U0052,52.54,2024-04-19 09:01:15.615123024,已支付,广州市天河区
ORD001500,U0861,27.02,2024-04-19 10:46:24.076815364,已支付,北京市朝阳区
ORD001501,U0052,31.6,2024-04-19 12:31:32.538507702,已支付,北京市朝阳区
ORD001502,U0171,53.31,2024-04-19 14:16:41.000200040,已支付,广州市天河区
ORD001503,U0618,11.18,2024-04-19 16:01:49.461892378,已支付,上海市浦东新区
ORD001504,U0610,89.8,2024-04-19 17:46:57.923584718,已支付,北京市朝阳区
ORD001505,U0445,70.65,2024-04-19 19:32:06.385277056,已取消,上海市浦东新区
ORD001506,U0721,21.42,2024-04-19 21:17:14.846969394,已支付,北京市朝阳区
ORD001507,U0131,88.67,2024-04-19 23:02:23.308661732,已支付,杭州市西湖区
ORD001508,U0734,9.84,2024-04-20 00:47:31.770354070,已支付,上海市浦东新区
ORD001509,U0964,78.95,2024-04-20 02:32:40.232046410,已支付,广州市天河区
ORD001510,U0223,134.01,2024-04-20 04:17:48.693738748,已支付,广州市天河区
ORD001511,U0315,80.99,2024-04-20 06:02:57.155431086,已支付,北京市朝阳区
ORD001512,U0639,99.75,2024-04-20 07:48:05.617123424,已支付,上海市浦东新区
ORD001513,U0950,106.28,2024-04-20 09:33:14.078815764,已支付,深圳市南山区
ORD001514,U0837,81.09,2024-04-20 11:18:22.540508102,已支付,广州市天河区
ORD001515,U0126,51.77,2024-04-20 13:03:31.002200440,已支付,广州市天河区
ORD001516,U0512,39.67,2024-04-20 14:48:39.463892778,未支付,上海市浦东新区
ORD001517,U0130,171.72,2024-04-20 16:33:47.925585118,已支付,上海市浦东新区
ORD001518,U0708,100.19,2024-04-20 18:18:56.387277456,已支付,北京市朝阳区
ORD001519,U0044,178.63,2024-04-20 20:04:04.848969794,已支付,深圳市南山区
ORD001520,U0384,147.12,2024-04-20 21:49:13.310662132,已支付,广州市天河区
ORD001521,U0806,16.92,2024-04-20 23:34:21.772354472,已支付,上海市浦东新区
ORD001522,U0188,28.05,2024-04-21 01:19:30.234046810,已取消,广州市天河区
ORD001523,U0244,8.66,2024-04-21 03:04:38.695739148,已支付,深圳市南山区
ORD001524,U0923,11.5,2024-04-21 04:49:47.157431486,未支付,杭州市西湖区
ORD001525,U0603,8.98,2024-04-21 06:34:55.619123824,已支付,杭州市西湖区
ORD001526,U0894,5.7,2024-04-21 08:20:04.080816164,已支付,深圳市南山区
ORD001527,U0527,43.04,2024-04-21 10:05:12.542508502,已支付,上海市浦东新区
ORD001528,U0935,176.76,2024-04-21 11:50:21.004200840,已支付,杭州市西湖区
ORD001529,U0934,77.87,2024-04-21 13:35:29.465893178,已支付,上海市浦东新区
ORD001530,U0694,109.46,2024-04-21 15:20:37.927585518,已支付,北京市朝阳区
ORD001531,U0319,57.63,2024-04-21 17:05:46.389277856,已支付,广州市天河区
ORD001532,U0954,63.06,2024-04-21 18:50:54.850970194,已支付,北京市朝阳区
ORD001533,U0574,118.74,2024-04-21 20:36:03.312662532,已支付,杭州市西湖区
ORD001534,U0590,46.37,2024-04-21 22:21:11.774354872,已支付,杭州市西湖区
ORD001535,U0274,61.91,2024-04-22 00:06:20.236047210,已支付,上海市浦东新区
ORD001536,U0763,36.34,2024-04-22 01:51:28.697739548,未支付,杭州市西湖区
ORD001537,U0925,16.15,2024-04-22 03:36:37.159431886,已支付,上海市浦东新区
ORD001538,U0071,48.02,2024-04-22 05:21:45.621124224,未支付,深圳市南山区
ORD001539,U0953,16.85,2024-04-22 07:06:54.082816564,未支付,杭州市西湖区
ORD001540,U0998,131.67,2024-04-22 08:52:02.544508902,已取消,深圳市南山区
ORD001541,U0024,89.02,2024-04-22 10:37:11.006201240,已支付,深圳市南山区
ORD001542,U0294,242.2,2024-04-22 12:22:19.467893578,已支付,广州市天河区
ORD001543,U0134,24.94,2024-04-22 14:07:27.929585918,已支付,上海市浦东新区
ORD001544,U0404,13.83,2024-04-22 15:52:36.391278256,未支付,深圳市南山区
ORD001545,U0758,11.87,2024-04-22 17:37:44.852970594,未支付,广州市天河区
ORD001546,U0938,263.72,2024-04-22 19:22:53.314662932,已支付,杭州市西湖区
ORD001547,U0484,36.72,2024-04-22 21:08:01.776355272,已支付,杭州市西湖区
ORD001548,U0202,12.19,2024-04-22 22:53:10.238047610,已支付,深圳市南山区
ORD001549,U0534,87.39,2024-04-23 00:38:18.699739948,已支付,杭州市西湖区
ORD001550,U0161,39.09,2024-04-23 02:23:27.161432286,已支付,上海市浦东新区
ORD001551,U0727,21.2,2024-04-23 04:08:35.623124626,未支付,杭州市西湖区
ORD001552,U0046,241.52,2024-04-23 05:53:44.084816964,已支付,北京市朝阳区
ORD001553,U0498,47.4,2024-04-23 07:38:52.546509302,已支付,杭州市西湖区
ORD001554,U0438,96.26,2024-04-23 09:24:01.008201640,已支付,深圳市南山区
ORD001555,U0105,84.19,2024-04-23 11:09:09.469893978,已支付,广州市天河区
ORD001556,U0682,825.89,2024-04-23 12:54:17.931586318,已支付,上海市浦东新区
ORD001557,U0947,44.64,2024-04-23 14:39:26.393278656,未支付,上海市浦东新区
ORD001558,U0964,20.11,2024-04-23 16:24:34.854970994,已支付,广州市天河区
ORD001559,U0085,27.68,2024-04-23 18:09:43.316663332,已支付,上海市浦东新区
ORD001560,U0824,146.91,2024-04-23 19:54:51.778355672,已支付,深圳市南山区
ORD001561,U0077,70.15,2024-04-23 21:40:00.240048010,已支付,深圳市南山区
ORD001562,U0554,34.11,2024-04-23 23:25:08.701740348,已支付,广州市天河区
ORD001563,U0525,76.94,2024-04-24 01:10:17.163432686,已支付,深圳市南山区
ORD001564,U0822,206.12,2024-04-24 02:55:25.625125026,已支付,北京市朝阳区
ORD001565,U0908,286.95,2024-04-24 04:40:34.086817364,已支付,深圳市南山区
ORD001566,U0984,78.97,2024-04-24 06:25:42.548509702,已支付,上海市浦东新区
ORD001567,U0291,169.9,2024-04-24 08:10:51.010202040,已支付,广州市天河区
ORD001568,U0339,13.17,2024-04-24 09:55:59.471894380,已支付,北京市朝阳区
ORD001569,U0521,101.71,2024-04-24 11:41:07.933586718,已支付,深圳市南山区
ORD001570,U0013,45.58,2024-04-24 13:26:16.395279056,已支付,北京市朝阳区
ORD001571,U0534,17.31,2024-04-24 15:11:24.856971394,已支付,杭州市西湖区
ORD001572,U0552,21.5,2024-04-24 16:56:33.318663732,已支付,杭州市西湖区
ORD001573,U0932,24.14,2024-04-24 18:41:41.780356072,未支付,北京市朝阳区
ORD001574,U0373,73.2,2024-04-24 20:26:50.242048410,已支付,杭州市西湖区
ORD001575,U0476,18.04,2024-04-24 22:11:58.703740748,已支付,杭州市西湖区
ORD001576,U0127,110.89,2024-04-24 23:57:07.165433086,未支付,杭州市西湖区
ORD001577,U0681,143.15,2024-04-25 01:42:15.627125426,未支付,广州市天河区
ORD001578,U0775,48.46,2024-04-25 03:27:24.088817764,未支付,广州市天河区
ORD001579,U0734,44.41,2024-04-25 05:12:32.550510102,已支付,杭州市西湖区
ORD001580,U0223,63.84,2024-04-25 06:57:41.012202440,已支付,上海市浦东新区
ORD001581,U0823,33.33,2024-04-25 08:42:49.473894780,已支付,杭州市西湖区
ORD001582,U0971,235.36,2024-04-25 10:27:57.935587118,未支付,杭州市西湖区
ORD001583,U0633,6.75,2024-04-25 12:13:06.397279456,已支付,杭州市西湖区
ORD001584,U0222,37.08,2024-04-25 13:58:14.858971794,已支付,上海市浦东新区
ORD001585,U0591,11.42,2024-04-25 15:43:23.320664132,已支付,上海市浦东新区
ORD001586,U0397,97.14,2024-04-25 17:28:31.782356472,已支付,杭州市西湖区
ORD001587,U0099,67.6,2024-04-25 19:13:40.244048810,已支付,深圳市南山区
ORD001588,U0483,115.99,2024-04-25 20:58:48.705741148,已支付,北京市朝阳区
ORD001589,U0404,64.06,2024-04-25 22:43:57.167433486,未支付,广州市天河区
ORD001590,U0235,80.8,2024-04-26 00:29:05.629125826,已支付,北京市朝阳区
ORD001591,U0186,22.8,2024-04-26 02:14:14.090818164,未支付,广州市天河区
ORD001592,U0279,63.31,2024-04-26 03:59:22.552510502,未支付,北京市朝阳区
ORD001593,U0693,24.97,2024-04-26 05:44:31.014202840,已支付,上海市浦东新区
ORD001594,U0805,100.71,2024-04-26 07:29:39.475895180,已支付,杭州市西湖区
ORD001595,U0788,21.16,2024-04-26 09:14:47.937587518,未支付,广州市天河区
ORD001596,U0376,32.6,2024-04-26 10:59:56.399279856,已支付,杭州市西湖区
ORD001597,U0403,50.19,2024-04-26 12:45:04.860972194,已支付,杭州市西湖区
ORD001598,U0236,252.66,2024-04-26 14:30:13.322664534,未支付,上海市浦东新区
ORD001599,U0658,56.35,2024-04-26 16:15:21.784356872,已支付,广州市天河区
ORD001600,U0068,412.17,2024-04-26 18:00:30.246049210,已支付,深圳市南山区
ORD001601,U0957,217.54,2024-04-26 19:45:38.707741548,已支付,上海市浦东新区
ORD001602,U0968,40.3,2024-04-26 21:30:47.169433886,已支付,杭州市西湖区
ORD001603,U0814,81.75,2024-04-26 23:15:55.631126226,已支付,广州市天河区
ORD001604,U0990,95.07,2024-04-27 01:01:04.092818564,已支付,上海市浦东新区
ORD001605,U0176,2.87,2024-04-27 02:46:12.554510902,已支付,上海市浦东新区
ORD001606,U0532,9.82,2024-04-27 04:31:21.016203240,已支付,深圳市南山区
ORD001607,U0584,85.54,2024-04-27 06:16:29.477895580,未支付,北京市朝阳区
ORD001608,U0453,91.1,2024-04-27 08:01:37.939587918,已支付,广州市天河区
ORD001609,U0617,63.54,2024-04-27 09:46:46.401280256,未支付,广州市天河区
ORD001610,U0930,17.92,2024-04-27 11:31:54.862972594,已支付,广州市天河区
ORD001611,U0872,609.04,2024-04-27 13:17:03.324664934,未支付,广州市天河区
ORD001612,U0519,96.26,2024-04-27 15:02:11.786357272,未支付,北京市朝阳区
ORD001613,U0818,151.33,2024-04-27 16:47:20.248049610,已支付,上海市浦东新区
ORD001614,U0053,138.79,2024-04-27 18:32:28.709741948,已支付,上海市浦东新区
ORD001615,U0982,63.27,2024-04-27 20:17:37.171434286,未支付,北京市朝阳区
ORD001616,U0329,59.43,2024-04-27 22:02:45.633126626,已支付,上海市浦东新区
ORD001617,U0267,134.74,2024-04-27 23:47:54.094818964,已支付,北京市朝阳区
ORD001618,U0716,32.35,2024-04-28 01:33:02.556511302,已支付,北京市朝阳区
ORD001619,U0392,144.46,2024-04-28 03:18:11.018203640,已支付,上海市浦东新区
ORD001620,U0032,65.1,2024-04-28 05:03:19.479895980,已取消,上海市浦东新区
ORD001621,U0191,98.67,2024-04-28 06:48:27.941588318,已支付,北京市朝阳区
ORD001622,U0695,65.25,2024-04-28 08:33:36.403280656,已支付,深圳市南山区
ORD001623,U0187,22.49,2024-04-28 10:18:44.864972994,已支付,杭州市西湖区
ORD001624,U0831,46.15,2024-04-28 12:03:53.326665334,已支付,广州市天河区
ORD001625,U0401,185.15,2024-04-28 13:49:01.788357672,未支付,北京市朝阳区
ORD001626,U0154,103.98,2024-04-28 15:34:10.250050010,已支付,上海市浦东新区
ORD001627,U0051,164.84,2024-04-28 17:19:18.711742348,已取消,北京市朝阳区
ORD001628,U0289,139.8,2024-04-28 19:04:27.173434688,已支付,上海市浦东新区
ORD001629,U0538,30.89,2024-04-28 20:49:35.635127026,已支付,北京市朝阳区
ORD001630,U0278,11.48,2024-04-28 22:34:44.096819364,已支付,上海市浦东新区
ORD001631,U0451,127.39,2024-04-29 00:19:52.558511702,已支付,深圳市南山区
ORD001632,U0863,46.07,2024-04-29 02:05:01.020204040,已支付,杭州市西湖区
ORD001633,U0334,108.9,2024-04-29 03:50:09.481896380,已支付,上海市浦东新区
ORD001634,U0210,221.49,2024-04-29 05:35:17.943588718,已支付,深圳市南山区
ORD001635,U0765,38.31,2024-04-29 07:20:26.405281056,已支付,杭州市西湖区
ORD001636,U0511,25.48,2024-04-29 09:05:34.866973394,已支付,上海市浦东新区
ORD001637,U0506,19.66,2024-04-29 10:50:43.328665734,已支付,广州市天河区
ORD001638,U0482,53.42,2024-04-29 12:35:51.790358072,未支付,北京市朝阳区
ORD001639,U0360,13.3,2024-04-29 14:21:00.252050410,已支付,北京市朝阳区
ORD001640,U0703,77.67,2024-04-29 16:06:08.713742748,已支付,北京市朝阳区
ORD001641,U0145,81.45,2024-04-29 17:51:17.175435088,已支付,上海市浦东新区
ORD001642,U0553,81.01,2024-04-29 19:36:25.637127426,未支付,广州市天河区
ORD001643,U0076,10.08,2024-04-29 21:21:34.098819764,已支付,广州市天河区
ORD001644,U0807,179.49,2024-04-29 23:06:42.560512102,已支付,广州市天河区
ORD001645,U0673,62.02,2024-04-30 00:51:51.022204442,已支付,杭州市西湖区
ORD001646,U0288,34.8,2024-04-30 02:36:59.483896780,已支付,上海市浦东新区
ORD001647,U0149,104.54,2024-04-30 04:22:07.945589118,已支付,深圳市南山区
ORD001648,U0437,103.19,2024-04-30 06:07:16.407281456,已支付,杭州市西湖区
ORD001649,U0704,17.36,2024-04-30 07:52:24.868973794,已支付,上海市浦东新区
ORD001650,U0334,51.96,2024-04-30 09:37:33.330666134,已支付,广州市天河区
ORD001651,U0066,29.97,2024-04-30 11:22:41.792358472,已支付,上海市浦东新区
ORD001652,U0177,35.91,2024-04-30 13:07:50.254050810,已支付,广州市天河区
ORD001653,U0327,92.13,2024-04-30 14:52:58.715743148,已支付,深圳市南山区
ORD001654,U0975,22.86,2024-04-30 16:38:07.177435488,已支付,广州市天河区
ORD001655,U0543,95.12,2024-04-30 18:23:15.639127826,已支付,杭州市西湖区
ORD001656,U0860,21.65,2024-04-30 20:08:24.100820164,未支付,上海市浦东新区
ORD001657,U0937,182.61,2024-04-30 21:53:32.562512502,已支付,北京市朝阳区
ORD001658,U0968,28.45,2024-04-30 23:38:41.024204842,未支付,广州市天河区
ORD001659,U0199,541.85,2024-05-01 01:23:49.485897180,已支付,广州市天河区
ORD001660,U0420,123.19,2024-05-01 03:08:57.947589518,已支付,北京市朝阳区
ORD001661,U0074,45.06,2024-05-01 04:54:06.409281856,已支付,杭州市西湖区
ORD001662,U0423,21.1,2024-05-01 06:39:14.870974194,已支付,深圳市南山区
ORD001663,U0111,91.9,2024-05-01 08:24:23.332666534,已支付,深圳市南山区
ORD001664,U0894,150.55,2024-05-01 10:09:31.794358872,未支付,杭州市西湖区
ORD001665,U0094,101.72,2024-05-01 11:54:40.256051210,已取消,上海市浦东新区
ORD001666,U0877,30.61,2024-05-01 13:39:48.717743548,未支付,深圳市南山区
ORD001667,U0360,227.42,2024-05-01 15:24:57.179435888,已支付,杭州市西湖区
ORD001668,U0169,73.05,2024-05-01 17:10:05.641128226,已支付,广州市天河区
ORD001669,U0297,28.49,2024-05-01 18:55:14.102820564,已支付,北京市朝阳区
ORD001670,U0261,500.63,2024-05-01 20:40:22.564512902,未支付,上海市浦东新区
ORD001671,U0725,104.86,2024-05-01 22:25:31.026205242,已支付,上海市浦东新区
ORD001672,U0774,82.1,2024-05-02 00:10:39.487897580,已支付,广州市天河区
ORD001673,U0318,33.67,2024-05-02 01:55:47.949589918,未支付,深圳市南山区
ORD001674,U0272,52.7,2024-05-02 03:40:56.411282256,已支付,上海市浦东新区
ORD001675,U0208,24.2,2024-05-02 05:26:04.872974596,未支付,北京市朝阳区
ORD001676,U0344,65.7,2024-05-02 07:11:13.334666934,已支付,广州市天河区
ORD001677,U0878,94.46,2024-05-02 08:56:21.796359272,已支付,上海市浦东新区
ORD001678,U0403,7.91,2024-05-02 10:41:30.258051610,已支付,广州市天河区
ORD001679,U0083,15.04,2024-05-02 12:26:38.719743948,已支付,深圳市南山区
ORD001680,U0240,21.96,2024-05-02 14:11:47.181436288,已支付,杭州市西湖区
ORD001681,U0635,12.12,2024-05-02 15:56:55.643128626,已支付,广州市天河区
ORD001682,U0677,23.89,2024-05-02 17:42:04.104820964,已支付,深圳市南山区
ORD001683,U0576,238.38,2024-05-02 19:27:12.566513302,已支付,上海市浦东新区
ORD001684,U0443,170.97,2024-05-02 21:12:21.028205642,已取消,上海市浦东新区
ORD001685,U0609,29.36,2024-05-02 22:57:29.489897980,已支付,深圳市南山区
